Pre.,Clac.,Error,SMILES
2.835322286,2.926372864,0.032112955,O=C(OCc1ccc(C(O)CC(O)c2ccc(COC(=O)c3ccc4c(c3)C(=O)N(c3ccc(OC(=O)c5ccc(CSCc6ccc(C(=O)Oc7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2)cc1)c1ccc2c(c1)C(=O)N(*)C2=O
3.519903088,3.577992013,0.01650299,O=C(c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(*)cc6)cc5)[nH]4)cc3)cc1)C2=O)C(O)c1ccc2c(c1)C(=O)N(*)C2=O
2.850126588,2.825524156,0.008632049,O=C(OCc1ccc(CSCc2ccc(COC(=O)c3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1)c1ccc(*)cc1
2.81112966,3.00472321,0.068866816,CP(=O)(c1ccc(COC(=O)c2ccc3c(c2)C(=O)N(*)C3=O)cc1)c1ccc(COC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)OCc4ccc(C(=O)C(=O)c5ccc(COC(=O)c6ccc(*)cc6)cc5)cc4)cc2)C3=O)cc1
3.134832278,2.977193404,0.050286223,O=C(Nc1ccc2c(c1)C(=O)N(*)C2=O)c1ccc(/C=C/C(O)/C=C/c2ccc(C(=O)Nc3ccc4c(c3)C(=O)N(c3ccc(OCc5ccc(Sc6ccc(COc7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2)cc1
3.564002888,3.502515463,0.01725235,O=C(Oc1ccc(*)cc1)c1ccc(/C=C/c2ccc(C(=O)Oc3ccc(N4C(=O)c5ccc(OC(=O)c6ccc(-c7ccc(-c8ccc(C(=O)Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)[nH]7)cc6)cc5C4=O)cc3)cc2)cc1
3.136367155,3.017179535,0.038001807,O=C1c2ccc(OCc3ccc(/C=C/C(O)/C=C/c4ccc(COc5ccc6c(c5)C(=O)N(c5ccc(-c7ccc(Sc8ccc(-c9ccc(*)cc9)cc8)cc7)cc5)C6=O)cc4)cc3)cc2C(=O)N1*
3.128516727,3.059467206,0.022071009,O=C(c1ccc(*)cc1)c1ccc(/C=C/C(O)/C=C/c2ccc(C(=O)c3ccc(N4C(=O)c5ccc(C(=O)c6ccc(C(=O)c7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5C4=O)cc3)cc2)cc1
3.030664754,3.206184257,0.057914523,CN(Cc1ccc(C(=O)c2ccc3c(c2)C(=O)N(*)C3=O)cc1)Cc1ccc(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(-c4ccc(-c5ccc(-c6ccc(*)cc6)cc5)cc4)cc2)C3=O)cc1
3.48537342,3.318873414,0.047771067,O=C(/C=C/c1ccc(C(=O)Nc2ccc(*)cc2)cc1)/C=C/c1ccc(C(=O)Nc2ccc(N3C(=O)c4ccc(COCc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1
2.959217861,2.958931223,9.68629E-05,O=C(c1ccc(*)cc1)c1ccc(Cc2ccc(C(=O)c3ccc(N4C(=O)c5ccc(C(O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1
2.884276107,2.92061284,0.012598216,O=C(Nc1ccc(*)cc1)c1ccc(COCOCc2ccc(C(=O)Nc3ccc(N4C(=O)c5ccc(OCc6ccc(S(=O)c7ccc(COc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1
2.599675898,2.634178294,0.013271807,O=C(OCc1ccc(CCC(O)CCc2ccc(COC(=O)c3ccc(N4C(=O)c5ccc(OCc6ccc(C(O)CC(O)c7ccc(COc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1)c1ccc(*)cc1
2.823141683,2.8150693,0.002859362,C[Si](C)(c1ccc(COC(=O)c2ccc3c(c2)C(=O)N(*)C3=O)cc1)c1ccc(COC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)c4ccc(S(=O)c5ccc(C(=O)c6ccc(*)cc6)cc5)cc4)cc2)C3=O)cc1
3.512900412,3.481100668,0.009052276,O=C1/C(=C/c2ccc(C(=O)Nc3ccc4c(c3)C(=O)N(*)C4=O)cc2)CC/C1=C\c1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(c2ccc(C(=O)OCc4ccc(C#CC#Cc5ccc(COC(=O)c6ccc(*)cc6)cc5)cc4)cc2)C3=O)cc1
3.330511669,3.447395548,0.035094872,CP(=O)(c1ccc(COC(=O)c2ccc3c(c2)C(=O)N(*)C3=O)cc1)c1ccc(COC(=O)c2ccc3c(c2)C(=O)N(c2ccc(-c4ccc(/C=C5\CC/C(=C\c6ccc(-c7ccc(*)cc7)cc6)C5=O)cc4)cc2)C3=O)cc1
